add_1,add_2,area,population,aver_old,under_15,15_65,over_65,rate_sex
全国,全国,"377,970.75 ",340.8,46.4 ,12.6 ,60.7 ,26.6 ,94.8 
北海道,北海道,"83,424.31 ",68.6,48.3 ,11.4 ,59.6 ,29.1 ,89.2 
北海道,札幌市,"1,121.26 ","1,741.2",46.2 ,11.4 ,63.7 ,24.9 ,87.4 
北海道,札幌市 中央区,46.42 ,"5,119.1",45.0 ,10.2 ,68.3 ,21.5 ,83.0 
北海道,札幌市 北区,63.57 ,"4,488.3",45.6 ,11.7 ,63.7 ,24.6 ,89.2 
北海道,札幌市 東区,56.97 ,"4,597.4",45.3 ,11.8 ,64.6 ,23.6 ,90.8 
北海道,札幌市 白石区,34.47 ,"6,080.2",45.3 ,11.3 ,65.7 ,23.0 ,89.6 
北海道,札幌市 豊平区,46.23 ,"4,729.7",45.5 ,10.9 ,65.5 ,23.6 ,86.6 
北海道,札幌市 南区,657.48 ,214.7,49.8 ,10.1 ,58.0 ,31.9 ,86.1 
北海道,札幌市 西区,75.10 ,"2,843.9",46.8 ,11.7 ,62.6 ,25.7 ,85.8 
北海道,札幌市 厚別区,24.38 ,"5,240.6",48.1 ,11.0 ,61.0 ,28.0 ,84.0 
北海道,札幌市 手稲区,56.77 ,"2,483.7",47.3 ,12.4 ,60.2 ,27.4 ,88.7 
北海道,札幌市 清田区,59.87 ,"1,933.0",46.4 ,13.4 ,61.3 ,25.3 ,89.4 
北海道,函館市,677.86 ,392.4,50.1 ,10.2 ,57.4 ,32.4 ,82.7 
北海道,小樽市,243.83 ,500.0,52.4 ,9.2 ,53.7 ,37.2 ,82.1 
北海道,旭川市,747.66 ,454.2,49.6 ,11.1 ,57.1 ,31.8 ,85.4 
北海道,室蘭市,80.88 ,"1,095.0",49.9 ,10.4 ,55.5 ,34.1 ,95.0 
北海道,釧路市,"1,362.92 ",128.2,49.1 ,11.1 ,58.5 ,30.4 ,88.8 
北海道,帯広市,619.34 ,273.4,46.7 ,12.2 ,61.4 ,26.4 ,91.7 
北海道,北見市,"1,427.41 ",84.9,48.9 ,11.2 ,58.6 ,30.2 ,91.8 
北海道,夕張市,763.07 ,11.6,59.3 ,5.7 ,45.8 ,48.6 ,86.1 
北海道,岩見沢市,481.02 ,175.7,50.2 ,10.7 ,56.7 ,32.6 ,87.0 
北海道,網走市,471.00 ,83.0,47.2 ,11.7 ,60.8 ,27.4 ,102.9 
北海道,留萌市,297.83 ,74.6,51.1 ,10.3 ,55.8 ,33.9 ,89.8 
北海道,苫小牧市,561.57 ,307.6,46.3 ,13.0 ,61.1 ,25.8 ,96.0 
北海道,稚内市,761.47 ,47.8,48.5 ,11.8 ,59.3 ,28.9 ,95.9 
北海道,美唄市,277.69 ,83.0,53.5 ,8.6 ,53.0 ,38.4 ,87.6 
北海道,芦別市,865.04 ,17.0,56.2 ,7.6 ,48.8 ,43.6 ,83.2 
北海道,江別市,187.38 ,643.8,47.1 ,11.2 ,61.7 ,27.1 ,90.7 
北海道,赤平市,129.88 ,85.5,56.8 ,7.5 ,47.8 ,44.7 ,82.6 
北海道,紋別市,830.78 ,27.8,51.0 ,10.3 ,56.1 ,33.7 ,90.1 
北海道,士別市,"1,119.22 ",17.8,52.9 ,10.4 ,52.2 ,37.4 ,89.1 
北海道,名寄市,535.20 ,54.3,48.1 ,11.9 ,57.8 ,30.3 ,94.0 
北海道,三笠市,302.52 ,30.0,56.8 ,7.6 ,46.3 ,46.1 ,81.5 
北海道,根室市,506.25 ,65.4,49.4 ,11.3 ,57.8 ,30.9 ,91.5 
北海道,千歳市,594.50 ,160.9,42.9 ,14.2 ,64.9 ,20.9 ,103.2 
北海道,滝川市,115.90 ,355.4,50.1 ,10.9 ,56.4 ,32.7 ,89.7 
北海道,砂川市,78.68 ,224.9,52.1 ,10.0 ,53.4 ,36.5 ,86.7 
北海道,歌志内市,55.95 ,64.1,58.6 ,6.1 ,47.3 ,46.6 ,85.5 
北海道,深川市,529.42 ,41.4,53.7 ,9.1 ,51.5 ,39.4 ,85.8 
北海道,富良野市,600.71 ,38.2,49.4 ,11.7 ,57.2 ,31.0 ,88.7 
北海道,登別市,212.21 ,233.8,50.4 ,10.9 ,55.2 ,34.0 ,90.2 
北海道,恵庭市,294.65 ,236.6,45.4 ,13.1 ,61.7 ,25.1 ,94.0 
